iter	Passed	Remaining
0	178	178351
1	188	93888
2	197	65546
3	206	51493
4	216	43120
5	225	37402
6	235	33386
7	244	30294
8	254	27991
9	263	26088
10	273	24595
11	283	23336
12	293	22286
13	304	21468
14	316	20790
15	336	20698
16	346	20033
17	358	19548
18	368	19011
19	377	18495
20	388	18107
21	398	17723
22	407	17314
23	416	16957
24	426	16644
25	437	16389
26	448	16161
27	457	15893
28	467	15643
29	477	15454
30	488	15260
31	498	15084
32	509	14931
33	519	14756
34	529	14585
35	538	14420
36	548	14277
37	558	14142
38	568	14001
39	578	13873
40	587	13736
41	596	13605
42	605	13479
43	615	13378
44	624	13256
45	634	13155
46	643	13051
47	652	12945
48	661	12835
49	670	12741
50	679	12644
51	688	12560
52	698	12477
53	707	12385
54	715	12299
55	724	12208
56	732	12126
57	741	12046
58	751	11980
59	759	11906
60	768	11831
61	777	11765
62	786	11700
63	795	11635
64	804	11567
65	813	11507
66	822	11447
67	831	11389
68	839	11333
69	849	11284
70	859	11242
71	868	11188
72	878	11150
73	887	11101
74	895	11042
75	904	10995
76	913	10953
77	922	10902
78	932	10866
79	941	10832
80	951	10790
81	960	10752
82	969	10715
83	980	10690
84	989	10656
85	999	10626
86	1010	10605
87	1020	10577
88	1030	10551
89	1040	10525
90	1051	10500
91	1061	10481
92	1071	10448
93	1081	10419
94	1091	10394
95	1100	10361
96	1110	10337
97	1119	10304
98	1129	10275
99	1138	10246
100	1148	10224
101	1158	10197
102	1167	10164
103	1175	10129
104	1183	10088
105	1192	10053
106	1199	10009
107	1206	9966
108	1214	9924
109	1222	9888
110	1229	9850
111	1237	9811
112	1245	9777
113	1253	9741
114	1262	9717
115	1270	9685
116	1278	9651
117	1289	9635
118	1298	9616
119	1308	9597
120	1316	9565
121	1325	9538
122	1334	9514
123	1343	9491
124	1354	9482
125	1362	9451
126	1370	9419
127	1378	9389
128	1385	9355
129	1393	9324
130	1400	9291
131	1409	9270
132	1417	9241
133	1426	9216
134	1434	9188
135	1443	9172
136	1454	9159
137	1463	9142
138	1472	9122
139	1481	9098
140	1490	9079
141	1499	9057
142	1507	9034
143	1514	9003
144	1522	8977
145	1529	8949
146	1537	8924
147	1545	8894
148	1552	8869
149	1560	8842
150	1568	8817
151	1575	8790
152	1583	8763
153	1591	8741
154	1598	8715
155	1606	8693
156	1614	8666
157	1622	8643
158	1629	8617
159	1637	8595
160	1644	8570
161	1652	8550
162	1660	8527
163	1669	8508
164	1678	8494
165	1688	8481
166	1695	8457
167	1703	8437
168	1711	8414
169	1719	8396
170	1727	8373
171	1735	8353
172	1743	8334
173	1751	8316
174	1759	8296
175	1768	8280
176	1776	8260
177	1784	8241
178	1792	8221
179	1800	8204
180	1808	8183
181	1816	8164
182	1824	8144
183	1832	8127
184	1840	8106
185	1847	8086
186	1855	8065
187	1862	8044
188	1870	8025
189	1878	8006
190	1886	7988
191	1893	7970
192	1902	7953
193	1909	7934
194	1917	7915
195	1924	7895
196	1933	7880
197	1940	7860
198	1948	7842
199	1955	7823
200	1964	7807
201	1972	7793
202	1981	7779
203	1989	7761
204	1997	7744
205	2005	7729
206	2013	7714
207	2022	7699
208	2031	7689
209	2042	7682
210	2053	7678
211	2062	7666
212	2071	7654
213	2080	7641
214	2088	7626
215	2097	7613
216	2105	7595
217	2113	7581
218	2121	7565
219	2129	7551
220	2137	7535
221	2145	7519
222	2153	7503
223	2161	7489
224	2170	7477
225	2178	7460
226	2186	7446
227	2194	7431
228	2202	7416
229	2211	7402
230	2219	7387
231	2227	7372
232	2235	7358
233	2245	7349
234	2253	7337
235	2264	7330
236	2273	7318
237	2282	7308
238	2291	7297
239	2301	7288
240	2310	7276
241	2318	7261
242	2325	7245
243	2333	7229
244	2341	7214
245	2349	7200
246	2356	7184
247	2365	7171
248	2372	7154
249	2380	7140
250	2387	7123
251	2395	7109
252	2402	7093
253	2410	7079
254	2417	7063
255	2425	7050
256	2435	7040
257	2444	7029
258	2451	7014
259	2459	7000
260	2467	6986
261	2475	6972
262	2482	6956
263	2490	6942
264	2497	6928
265	2505	6914
266	2513	6901
267	2521	6886
268	2529	6874
269	2537	6860
270	2545	6847
271	2553	6833
272	2560	6819
273	2568	6805
274	2576	6793
275	2584	6780
276	2592	6766
277	2600	6752
278	2608	6739
279	2615	6726
280	2624	6714
281	2631	6700
282	2639	6687
283	2646	6672
284	2654	6659
285	2663	6648
286	2671	6636
287	2679	6623
288	2685	6607
289	2693	6594
290	2700	6580
291	2708	6567
292	2715	6553
293	2724	6541
294	2731	6527
295	2739	6515
296	2746	6500
297	2753	6487
298	2761	6474
299	2769	6461
300	2776	6448
301	2784	6435
302	2791	6422
303	2799	6408
304	2807	6397
305	2814	6383
306	2822	6371
307	2830	6358
308	2838	6346
309	2845	6333
310	2852	6320
311	2859	6306
312	2866	6292
313	2874	6280
314	2882	6267
315	2889	6255
316	2897	6242
317	2905	6230
318	2912	6217
319	2920	6205
320	2927	6192
321	2935	6180
322	2942	6166
323	2949	6153
324	2957	6142
325	2965	6130
326	2973	6120
327	2981	6109
328	2990	6098
329	2997	6086
330	3006	6076
331	3013	6063
332	3021	6052
333	3030	6043
334	3041	6036
335	3049	6027
336	3058	6017
337	3068	6010
338	3078	6002
339	3086	5992
340	3094	5980
341	3102	5969
342	3110	5958
343	3119	5949
344	3127	5938
345	3135	5927
346	3143	5915
347	3152	5905
348	3159	5892
349	3166	5880
350	3174	5869
351	3181	5856
352	3189	5845
353	3196	5833
354	3204	5823
355	3212	5810
356	3220	5799
357	3227	5787
358	3235	5777
359	3243	5765
360	3251	5755
361	3258	5743
362	3266	5731
